filename,rpt_0.2Cdischarge_capacity0.8_real_regular_throughput::DiagnosticProperties
PredictionDiagnostics_000172_000257_structure,9339.913404807532
PreDiag_000373_0001DA_structure,1705.7934150462147
PreDiag_000217_00019C_structure,10020.183574666687
PreDiag_000253_000212_structure,8153.995148416333
PreDiag_000313_000197_structure,802.1750722691005
PreDiag_000289_000235_structure,3298.7434108521784
PreDiag_000404_000082_structure,9932.536925523287
PreDiag_000274_0000D7_structure,9138.437597864839
PreDiag_000370_0001C9_structure,739.5993267539917
PreDiag_000387_0001F1_structure,697.5029620122264
PreDiag_000383_0001CB_structure,1665.594183063531
PredictionDiagnostics_000158_00024F_structure,3548.6065457163977
PredictionDiagnostics_000154_000024_structure,2746.5291412298034
PreDiag_000324_00018A_structure,3062.354104244821
PredictionDiagnostics_000173_000248_structure,6280.6288639554405
PreDiag_000223_0001A2_structure,4638.02624463034
PreDiag_000362_000161_structure,3588.1508581255875
PredictionDiagnostics_000149_00003A_structure,3905.9415612667894
PreDiag_000259_00021B_structure,7426.066910212722
PreDiag_000339_000179_structure,21964.128735522812
PreDiag_000375_0001F7_structure,1080.323348310304
PreDiag_000372_0001DF_structure,971.1347069573408
PreDiag_000428_0000DF_structure,5306.247456481549
PreDiag_000368_0001DE_structure,673.8482648466044
PredictionDiagnostics_000189_00023F_structure,9335.207299733249
PredictionDiagnostics_000170_000256_structure,1208.9577528456607
PreDiag_000323_00018B_structure,2076.0812463703433
PreDiag_000311_000199_structure,2443.3864595135365
PreDiag_000371_0001E8_structure,967.3947436460932
